product_name_norm,representative_plu_code,representative_category,candidate_plu_count
24FW)포그니울양말,8806379938980,생활잡화,1
24K)심플에이스1mg,8801116001965,담배,1
24SS)냉장고반바지(Free),8808906906608,생활잡화,1
24SS)스니커즈밀착덧신,8808906888942,생활잡화,1
24SS)시스루밀착덧신,8808906888959,생활잡화,1
24SS)아쿠아엑스손등형쿨토시블랙,8806379938188,생활잡화,1
24SS)아쿠아엑스쿨토시블랙,8806379938195,생활잡화,1
24SS)아쿠아엑스쿨토시화이트,8806379938201,생활잡화,1
24SS)앞코보강밀착덧신,8808906888966,생활잡화,1
24SS)컴포트밀착덧신,8808906888935,생활잡화,1
24SS)쿨넥스카프,8806379938218,생활잡화,1
24SS)쿨스카프(귀걸이형),8808906888997,생활잡화,1
24SS)쿨패턴스카프(일반형),8806379938225,생활잡화,1
24가정의달)골드카네이션코사지(1P),1500000136864,생활잡화,1
24가정의달)레드카네이션코사지(1P),1500000136871,생활잡화,1
24가정의달)레드카네이션포장(1P),1500000068851,생활잡화,1
24가정의달)장미한송이꽃다발,1500000166632,생활잡화,1
24가정의달)카네이션용돈박스,1500000068882,생활잡화,1
24가정의달)퀸스로즈다발,1500000166649,생활잡화,1
24가정의달)프리저브드미니장미수국다발,1500000166656,생활잡화,1
24설구르메)치즈플레이트선물세트,3389750000483,유제품,1
24설구르메)패밀리치즈선물세트,3389750033221,유제품,1
24설삼진)프리미엄선물세트,8809029030959,간편식품,1
24설상하농원)수제햄&치즈고급세트,8809488886609,간편식품,1
24설조선호텔)딤섬선물세트,1500000161620,간편식품,1
24설조선호텔)훈제연어선물세트,1500000161637,간편식품,1
24설존쿡)델리미트베스트세트,8809861811150,간편식품,1
24추석구르메)치즈샤퀴테리세트,8809075120406,유제품,1
24추석구르메)치즈플레이트세트,8809075120413,유제품,1
24추석상하농원)수제햄&치즈세트,8809488885961,간편식품,1
24프레시지)더블체다함박스테이크576g,8809558841415,간편식품,1
25FW)PSG주니어방한장갑L,8800294436217,생활잡화,1
25FW)따뜻한넥워머,8806379939918,생활잡화,1
25FW)따뜻한수면양말,8806379939932,생활잡화,1
25FW)따뜻한스마트폰터치장갑,8806379939901,생활잡화,1
25FW)따뜻한접이식왕귀마개,8806379939925,생활잡화,1
25FW)레그웜50D타이즈,8808994173173,생활잡화,1
25FW)레그웜80D타이즈,8808994173180,생활잡화,1
25FW)레그웜기모레깅스,8808994173203,생활잡화,1
25FW)레그웜기모타이즈,8808994173197,생활잡화,1
25FW)레그웜니삭스,8808994173166,생활잡화,1
25FW)마이멜로디리본귀마개,8800294436729,생활잡화,1
25FW)마이멜로디방울장갑,8800294437573,생활잡화,1
25FW)마이멜로디방한장갑M,8800294437184,생활잡화,1
25FW)마이멜로디파스텔공군모,8800294437023,생활잡화,1
25FW)머플러베이지,8808994170028,생활잡화,1
25FW)머플러블랙,8808994170035,생활잡화,1
25FW)바디웜남성상의,8808994170004,생활잡화,1
25FW)바디웜남성하의,8808994170011,생활잡화,1
25FW)시나모롤리본귀마개,8800294436743,생활잡화,1
25FW)시나모롤머플러,8800294436972,생활잡화,1
25FW)시나모롤방울장갑,8800294437580,생활잡화,1
25FW)시나모롤방한장갑M,8800294437153,생활잡화,1
25FW)시나모롤파스텔공군모,8800294437030,생활잡화,1
25FW)여성용울양말,8808994173210,생활잡화,1
25FW)쿠로미방울장갑,8800294437597,생활잡화,1
25FW)쿠로미방한장갑M,8800294437122,생활잡화,1
25FW)헬로카봇귀마개,8800294436804,생활잡화,1
25FW)헬로카봇니트장갑,8800294437498,생활잡화,1
25FW)헬로카봇방한장갑M,8800294437245,생활잡화,1
25FW)헬로키티리본귀마개,8800294436736,생활잡화,1
25FW)헬로키티머플러,8800294436965,생활잡화,1
25FW)헬로키티방울장갑,8800294437566,생활잡화,1
25FW)헬로키티방한장갑M,8800294437214,생활잡화,1
25FW)헬로키티파스텔공군모,8800294437016,생활잡화,1
25K)시즌,88011158,담배,1
25SS)냉장고반바지(Free),8808994106799,생활잡화,1
25SS)손등형시스루팔토시누드,8808994108229,생활잡화,1
25SS)아쿠아엑스쿨토시블랙,8806379939420,생활잡화,1
25SS)아쿠아엑스쿨토시손등형블랙,8806379939444,생활잡화,1
25SS)아쿠아엑스쿨토시화이트,8806379939437,생활잡화,1
25SS)앞코보강밀착덧신,8808994108250,생활잡화,1
25SS)컴포트밀착덧신,8808994108243,생활잡화,1
