"PLU코드","상품명"
"8801116002108","26K)에쎄스페셜골드1mg"
"1500000205874","26가정의달)골드카네이션코사지(1P)"
"1500000205898","26가정의달)레드카네이션코사지(1P)"
"1500000205997","26가정의달)모루장미꽃다발(레드)"
"1500000206000","26가정의달)모루장미꽃다발(핑크)"
"1500000205966","26가정의달)엘레강스장미꽃다발(연핑크)"
"1500000206048","26가정의달)장미꽃다발(대)"
"1500000206031","26가정의달)펄매쉬꽃다발(피치)"
"1500000206024","26가정의달)펄매쉬꽃다발(핑크)"
"1500000206017","26가정의달)퐁퐁다발(노랑)"
"1500000206055","26가정의달)프리져브드수국꽃다발(블루)"
"1500000206062","26가정의달)프리져브드수국꽃다발(핑크)"
"1500000205911","26가정의달)홀로그램장미한송이(레드)"
"1500000205942","26가정의달)홀로그램장미한송이(블루)"
"1500000206086","26년가정의달)유리구두카네이션"
"8809963484092","26년가정의달)카네이션(화분)"
"8809963484146","26년가정의달)카랑코에(화분)"
"1500000206079","26년가정의달)프리져브드장미다발(중)"
"8809963484153","26년가정의달)호야(화분)"
"1500000199579","26설)글라스락_라일락간편캡7조A"
"1500000199593","26설)글라스락_클래식직정10조A"
"1500000199555","26설)르크루제_시그니처원형냄비16"
"1500000199562","26설)르크루제_원형냄비22"
"8806379939802","26설)송월호텔리어심플세트(3매)"
"8806379940136","26설)코렐_어도러블닷블루2인12P"
